a,b,c,d,e,f,g,h,z
2544,2878,2836,4939,4110,2696,4083,2705,0
2616,2970,2963,5053,4148,2709,3955,2607,0
2586,2880,2867,4899,3874,2594,3998,2617,0
1843,2418,2362,4906,3602,2430,4169,3500,0
953,1747,1642,4427,2787,1741,4064,4589,0
538,1069,859,3661,1940,1057,4740,6199,0
597,900,665,3231,1631,841,5034,6586,0
423,830,558,3335,1702,829,5139,7133,0
365,765,486,3205,1500,688,5079,7367,0
381,769,538,2547,1113,548,3888,6512,2
400,786,603,2177,945,486,3075,5662,2
338,750,524,2252,900,445,3359,6225,0
351,751,482,2384,867,396,3761,6636,0
483,884,635,2510,1072,539,3692,5962,0
555,960,738,2809,1298,678,3960,5839,0
559,932,719,3121,1698,864,4535,6255,0
436,820,600,3030,1742,897,4547,6694,0
383,772,532,2678,1358,686,4128,6685,0
343,750,492,2912,1360,647,4552,7109,0
474,857,633,2873,1396,666,4270,6389,0
718,989,834,2806,1511,926,3968,5418,0
666,957,796,3074,1735,1060,4430,5886,0
486,863,625,3429,1717,868,5180,6917,0
523,913,705,3426,1821,964,4953,6587,0
479,886,665,3533,1799,915,5147,6832,0
418,788,526,3598,1598,713,5639,7449,0
415,776,514,3407,1500,662,5406,7378,0
403,779,512,3466,1599,714,5464,7426,0
401,779,511,3507,1664,744,5521,7456,0
381,762,495,3554,1671,740,5596,7555,0
432,807,568,3299,1534,700,5070,7062,0
384,771,511,3701,1502,650,5743,7574,0
342,763,478,3765,1557,662,5841,7747,0
358,771,513,3358,1446,636,5172,7350,0
434,781,533,3082,1260,552,4893,7051,0
488,823,653,2907,1462,781,4280,6331,0
619,949,848,3003,1898,1173,4006,5596,0
618,964,869,2991,2055,1351,3909,5497,0
558,948,887,2861,1958,1272,3526,5267,0
418,798,621,2295,1127,636,3248,5741,0
327,676,480,1743,569,254,2594,5682,0
279,631,451,1532,451,197,2225,5451,0
251,630,447,1998,778,353,3030,6344,0
302,688,472,2877,1362,621,4472,7181,0
452,765,591,2890,1388,682,4406,6604,0
364,715,454,3516,1663,754,5666,7713,0
363,728,487,3459,1739,758,5440,7532,0
464,821,641,3204,1751,903,4722,6666,0
443,784,565,3025,1488,728,4697,6852,0
379,721,472,2737,1197,562,4449,7058,0
328,662,416,2167,781,357,3587,6779,0
708,832,607,2052,728,341,3479,5434,0
725,853,642,2294,952,462,3857,5627,0
774,932,774,2186,1090,712,3202,4770,0
848,973,827,2341,1247,763,3459,4779,0
713,833,630,2564,1203,613,4397,6055,0
754,882,721,2363,1144,636,3720,5324,0
827,927,795,1950,858,522,2745,4208,0
689,807,598,1925,671,339,3207,5260,0
4580,4836,5012,6660,5799,4402,3327,1412,0
4248,4556,4702,6356,5372,4064,3254,1496,0
3404,3431,3527,5417,4141,2966,4276,2113,0
2511,2702,2609,4657,3700,2491,4461,2819,0
2374,2472,2475,4648,3419,2222,4646,3051,0
2172,2318,2240,4413,3269,2025,4698,3266,0
2422,2702,2645,4725,3822,2516,4183,2822,0
2630,2820,2812,4895,3955,2613,4324,2703,0
2518,2745,2751,4900,3797,2442,4291,2809,0
2002,2466,2405,4852,3597,2259,4288,3372,0
1486,2362,2247,4827,3575,2327,3758,3647,0
1291,1851,1758,4338,2841,1748,4242,4232,0
550,1096,859,3687,2010,1056,4804,6221,0
444,849,563,3393,1566,755,5264,7154,0
364,781,488,3353,1415,663,5286,7459,0
401,809,554,2841,1264,653,4345,6736,0
386,778,564,2205,986,564,3232,5926,2
422,842,683,2301,1173,687,3057,5422,2
470,903,733,2840,1509,835,3841,5897,0
516,928,735,2552,1310,744,3470,5528,0
568,991,778,2788,1431,779,3808,5637,0
623,1007,788,3071,1616,836,4348,5916,0
601,983,761,3388,1844,937,4884,6332,0
425,808,533,3415,1740,807,5367,7300,0
