a,b,c,d,e,f,g,h,z
498,1064,799,3769,2137,1169,5007,6502,0
665,1164,980,3886,2188,1235,4916,5972,0
547,1064,903,3549,2151,1217,4450,5943,0
737,1184,1098,3434,2337,1414,4029,5154,2
800,1226,1102,3333,2177,1362,4000,5030,2
836,1217,1074,3435,2116,1237,4337,5236,2
602,965,732,3394,1639,842,5015,6452,0
474,859,678,2974,1567,900,4256,6287,0
543,950,813,3452,2099,1262,4627,6188,0
497,872,664,3603,1868,1014,5301,6888,0
626,978,891,2959,2029,1426,3799,5371,0
691,1075,1044,2868,2081,1622,3269,4663,2
704,1101,1073,2880,2197,1769,3218,4571,2
738,1257,1280,2905,2497,1996,2699,3883,2
617,1097,1007,3035,2128,1432,3509,5017,2
416,819,583,3140,1498,731,4729,6868,0
442,816,581,3277,1555,744,5012,6988,0
509,862,660,3136,1633,858,4662,6523,0
720,1024,965,2863,1959,1431,3580,4958,0
777,1163,1234,3007,2324,1718,3039,4181,2
608,968,868,2425,1497,986,2978,4728,2
447,834,637,2764,1550,794,4018,6254,0
429,791,565,3356,1743,853,5158,7118,0
432,789,515,3862,1793,821,6102,7647,0
417,785,513,3703,1785,763,5841,7566,0
399,776,541,2998,1368,610,4635,6943,0
413,801,614,2258,873,444,3200,5724,0
340,691,470,2383,1239,605,3780,6705,0
327,672,431,2507,1353,668,4106,7066,0
360,745,532,2660,1540,999,4045,6667,0
302,677,448,2657,1156,647,4222,7114,0
372,706,501,2268,877,450,3539,6381,0
392,713,497,2240,997,522,3548,6368,0
421,728,504,3043,1671,846,4917,7158,0
542,852,742,2930,1940,1306,4108,5959,0
604,915,790,3049,2068,1210,4259,5884,0
507,894,736,3270,2056,1142,4563,6326,0
591,907,762,2993,1865,1071,4247,5941,0
677,960,851,2929,1904,1187,4009,5497,0
622,877,691,3533,2090,1060,5460,6728,0
666,919,798,3000,1997,1307,4303,5798,0
657,886,763,2646,1553,1026,3828,5524,0
632,923,796,3023,1913,1170,4263,5831,0
581,909,774,3224,1900,1103,4534,6128,0
541,859,658,3423,1967,1039,5192,6775,0
554,826,566,3504,1833,859,5763,7219,0
526,813,567,3488,1805,836,5641,7203,0
738,912,666,3330,1686,808,5648,6667,0
774,933,684,3257,1593,770,5566,6529,0
871,1060,820,3304,1856,956,5312,6023,0
2769,3044,3059,4989,4323,3091,3837,2398,0
2719,2895,2916,4894,4017,2813,4122,2533,0
2272,2393,2339,4356,3116,2050,4443,3013,0
2042,2230,2108,4030,2856,1847,4229,3131,0
2415,2587,2520,4297,3164,2147,3930,2607,0
2442,2599,2540,4367,3167,2147,4045,2645,0
1914,2120,2036,4223,2949,2005,4525,3494,0
954,1375,1257,3814,2407,1573,4501,5042,0
576,1079,859,3833,2008,1091,5069,6338,0
493,952,679,3964,1771,834,5727,7075,0
449,878,577,3549,1619,749,5446,7203,0
360,785,479,3729,1640,733,5844,7723,0
374,770,496,3292,1406,678,5192,7381,0
381,799,542,2640,1235,650,4024,6593,0
259,811,564,2758,1637,942,3863,6604,0
295,1013,744,3007,2010,1189,3708,6033,0
722,1298,1031,3608,2319,1353,4480,5555,0
851,1349,1168,3822,2242,1286,4592,5319,0
796,1182,1055,3541,1994,1148,4471,5409,0
768,1173,1069,3370,2228,1408,4102,5184,0
693,1179,1046,3286,2232,1412,3898,5171,0
691,1109,915,3385,1895,1052,4510,5744,0
446,860,603,3465,1601,767,5208,7035,0
410,827,585,3464,1669,828,5178,7110,0
475,882,655,3776,1975,950,5517,7044,0
479,871,631,3951,1946,886,5868,7246,0
557,903,785,3279,1969,1161,4514,6137,0
660,979,919,2858,2099,1526,3612,5134,2
737,1070,1009,2778,2032,1545,3324,4671,2
753,1073,1012,2681,1970,1473,3184,4519,2
640,994,875,3022,1978,1334,3984,5509,2
506,881,682,3153,1716,988,4593,6443,0
508,901,704,3167,1695,935,4534,6363,0
529,905,693,3189,1690,899,4664,6430,0
740,1149,1061,3200,2185,1480,3815,5020,0
764,1219,1184,3232,2305,1639,3505,4638,2
646,1050,943,3047,1978,1283,3795,5273,2
435,824,623,2805,1528,814,4108,6365,0
436,787,580,2953,1538,771,4507,6717,0
397,778,512,3690,1708,749,5764,7563,0
411,775,496,3761,1845,783,5978,7670,0
433,810,586,2789,1239,582,4218,6527,0
457,837,658,2211,842,431,3050,5413,0
348,715,479,2704,1303,598,4289,6990,0
348,688,434,2750,1314,613,4543,7274,0
357,724,465,2749,1350,687,4440,7106,0
398,748,549,2445,1240,696,3716,6333,0
435,781,604,2318,1243,730,3379,5866,0
460,801,613,2530,1306,734,3756,6099,0
469,783,582,2840,1673,905,4405,6598,0
515,850,697,2932,1929,1146,4217,6159,0
453,796,582,3299,1906,941,5071,7001,0
417,740,491,3830,1858,828,6116,7727,0
506,827,634,3644,1982,1076,5512,7036,0
627,928,804,3102,2002,1177,4345,5883,0
787,1121,1100,3081,2364,1638,3594,4738,0
872,1228,1242,3200,2635,1887,3469,4408,0
697,1051,983,3010,2344,1492,3704,5076,0
598,937,777,3263,2095,1224,4624,6153,0
508,836,606,3517,1868,934,5454,7060,0
458,777,532,3713,1959,899,5904,7494,0
430,765,512,3882,1937,866,6137,7670,0
427,776,532,3694,1796,813,5777,7482,0
481,850,613,3330,1696,828,5069,6891,0
853,1009,750,3183,1616,787,5390,6186,0
919,1110,904,3304,1955,1051,5069,5703,0
2997,3211,3270,5183,4442,3201,3880,2263,0
2726,2860,2884,4811,3802,2665,4128,2504,0
2285,2327,2248,4135,2912,1918,4499,2956,0
2406,2674,2557,4246,3340,2302,3658,2483,0
2897,3094,3061,4600,3683,2629,3424,2009,0
3116,3255,3263,4779,3826,2755,3450,1885,0
2758,2935,2970,4924,3668,2569,4051,2475,0
1049,1681,1603,4236,2747,1770,4118,4509,0
695,1318,1166,3983,2305,1316,4467,5471,0
558,1002,792,3928,1898,961,5409,6644,0
429,854,599,3262,1652,818,4881,6897,0
408,829,570,3199,1535,754,4847,6975,0
428,822,577,2926,1356,685,4456,6706,0
424,831,598,2660,1400,743,3945,6329,0
377,839,632,2981,1894,1049,4211,6502,0
453,954,768,3456,2267,1256,4582,6364,0
616,1214,1042,3555,2405,1404,4137,5467,0
747,1318,1160,3256,2154,1328,3586,4746,2
680,1117,935,3141,1806,1058,4040,5412,0
657,1092,944,3118,1942,1216,3923,5352,2
581,1018,794,3189,1684,903,4404,6013,0
573,1014,798,3220,1660,876,4416,6028,0
491,902,711,3178,1749,969,4482,6344,0
478,900,745,3143,1826,1096,4274,6168,0
495,909,689,3452,1777,942,4979,6672,0
485,887,647,3373,1609,763,5005,6781,0
516,883,704,3233,1800,955,4653,6424,0
622,953,854,3112,2043,1332,4160,5693,2
663,1016,900,3221,2135,1383,4251,5632,2
650,972,854,2894,1941,1359,3880,5443,2
631,1071,981,2924,2026,1467,3451,4976,2
561,924,837,2893,1821,1146,3750,5512,0
646,1050,1123,3000,2249,1570,3151,4553,2
722,1122,1205,3094,2338,1716,3168,4394,2
754,1090,1071,3171,2218,1479,3766,4950,2
740,1119,1148,3250,2286,1522,3602,4779,2
592,951,788,3189,1832,1076,4454,6037,2
421,786,549,3074,1503,751,4778,6969,0
436,796,566,3010,1403,668,4651,6834,0
417,781,522,3469,1561,696,5468,7384,0
415,758,483,3899,1754,742,6241,7796,0
418,763,511,3341,1508,673,5331,7347,0
405,758,514,3252,1460,657,5147,7270,0
339,716,453,3495,1650,715,5563,7705,0
315,694,404,3610,1628,707,5863,7987,0
326,698,450,3278,1585,782,5224,7586,0
406,765,685,2851,1860,1217,3891,6126,0
576,946,976,2940,2184,1528,3392,5015,0
552,929,834,2783,1846,1252,3570,5388,0
642,893,829,2502,1732,1266,3303,5023,0
629,931,864,2630,1897,1330,3371,5054,0
485,829,661,3018,1896,1022,4415,6407,0
425,765,546,3302,1797,827,5145,7162,0
442,739,509,3413,1754,789,5520,7404,0
525,842,659,3336,1992,1012,5012,6701,0
602,954,825,3452,2394,1351,4729,6142,0
582,912,792,3379,2504,1353,4698,6202,0
547,864,699,3198,2167,1119,4701,6413,0
476,796,580,3339,1753,847,5206,7040,0
439,740,488,3804,1786,810,6168,7726,0
419,730,463,3993,1924,851,6475,7922,0
434,769,515,3641,1752,807,5799,7522,0
462,832,594,3096,1562,764,4740,6780,0
531,912,672,3298,1734,859,4919,6615,0
819,1052,796,3578,1903,945,5695,6360,0
804,1195,952,3722,2244,1214,5166,5926,0
2629,3009,2992,4938,4238,2985,3693,2454,0
2793,3077,3068,4885,4055,2886,3679,2285,0
2779,2945,2920,4676,3692,2611,3867,2312,0
3102,3294,3302,4879,3980,2917,3450,1928,0
3359,3549,3580,5035,4192,3113,3213,1689,0
3407,3652,3683,5145,4315,3217,3126,1656,0
3134,3150,3206,5019,3943,2824,4216,2204,0
1455,1951,1871,4576,3126,2052,4542,4196,0
477,1339,1180,3989,2360,1328,4015,5434,0
122,795,529,3296,1777,878,4447,7234,0
395,805,524,3125,1546,725,4887,7128,0
440,861,616,2794,1359,668,4128,6387,0
446,872,645,2566,1137,612,3669,5983,0
461,864,655,2614,1412,785,3742,5993,0
394,814,595,2861,1751,894,4204,6557,0
355,832,598,3081,1916,949,4432,6749,0
469,932,762,3282,2087,1239,4394,6231,0
706,1194,1106,3066,2232,1598,3401,4698,2
542,975,746,3213,1685,929,4527,6231,0
595,1005,813,2994,1578,883,4066,5729,0
525,949,723,2986,1448,734,4226,6101,0
491,910,680,3027,1540,776,4371,6331,0
510,910,755,2991,1791,1057,4081,5969,0
609,1009,944,2937,1998,1446,3550,5135,2
592,1067,918,3263,2068,1312,4091,5609,2
542,918,703,2944,1508,809,4278,6145,0
493,889,688,3107,1679,859,4467,6374,0
528,884,714,2975,1717,1023,4250,6129,0
648,1021,917,2866,2032,1428,3607,5152,2
614,934,821,3018,2014,1439,4118,5723,2
631,1042,962,2998,2099,1498,3626,5141,2
458,889,717,2841,1593,938,3874,5970,0
607,1051,1025,2908,2014,1352,3245,4788,2
764,1259,1389,3090,2687,1968,2710,3798,2
727,1187,1285,3470,2654,1846,3473,4595,2
599,1055,1035,3557,2335,1482,4128,5492,2
469,815,601,3959,1865,905,5976,7364,0
380,705,456,3710,1602,693,5983,7811,0
399,720,472,3658,1550,668,5901,7714,0
390,736,489,3746,1623,689,5920,7691,0
375,714,446,4014,1718,712,6428,8000,0
369,730,456,4241,1756,728,6659,8058,0
367,754,500,3761,1717,743,5820,7653,0
386,766,531,2953,1690,771,4572,6952,0
356,739,481,3194,1715,781,5058,7382,0
399,769,620,3200,1793,945,4631,6754,0
582,1031,1281,3277,2523,1754,3006,4379,0
676,1085,1152,3070,2358,1598,3216,4543,0
612,912,848,2418,1796,1338,3039,4807,0
746,999,1022,2277,1862,1596,2448,3804,0
684,1059,995,2630,1995,1555,3035,4510,0
471,807,601,3006,1629,827,4597,6668,0
432,797,591,2870,1470,714,4324,6585,0
479,826,637,2728,1662,925,4034,6214,0
543,896,744,3137,2069,1182,4422,6166,0
531,864,668,3259,2079,1041,4876,6598,0
502,846,645,3328,2021,1022,4993,6753,0
490,824,592,3239,1604,728,5045,6909,0
450,800,562,3306,1564,730,5157,7094,0
394,709,464,4042,1782,779,6449,7941,0
408,756,497,3895,1830,837,6148,7737,0
449,800,542,3415,1702,809,5401,7261,0
460,835,596,3023,1618,809,4614,6706,0
465,869,627,3341,1830,923,4983,6840,0
678,1029,781,3533,2013,1043,5238,6379,0
879,1348,1145,3751,2461,1419,4644,5323,0
2478,2834,2806,4856,4020,2726,3910,2676,0
2847,3133,3145,4990,4190,2941,3688,2268,0
3149,3497,3532,5236,4567,3284,3325,1943,0
3509,3900,3963,5486,4802,3586,2941,1612,0
3595,3918,3975,5420,4706,3559,2935,1538,0
3580,3819,3884,5413,4709,3522,3221,1645,0
3383,3598,3689,5424,4684,3483,3560,1904,0
2434,2600,2748,5151,3861,2750,4489,3042,0
526,1284,1139,4171,2466,1488,4443,5710,0
-39,719,460,3233,1661,840,4257,7509,0
412,810,550,2985,1458,706,4613,6888,0
427,826,590,2732,1449,738,4097,6448,0
450,849,631,2605,1260,674,3791,6100,0
476,870,672,2835,1603,873,4067,6168,0
411,796,542,3194,1743,832,4961,7099,0
458,866,634,3081,1665,792,4548,6587,0
513,877,678,3281,1871,998,4820,6575,0
755,1209,1244,3426,2520,1875,3582,4672,2
530,986,816,3537,2067,1225,4705,6251,0
413,823,574,2833,1388,726,4285,6630,0
418,832,588,2964,1482,734,4447,6689,0
398,793,547,3212,1635,767,4932,7090,0
481,851,644,2918,1581,851,4315,6384,0
499,878,711,2854,1765,1129,4005,6011,0
650,1058,992,3088,2077,1424,3699,5137,0
577,989,840,3121,1780,1074,4122,5759,0
584,959,803,3046,1891,1201,4159,5827,2
599,1005,883,2932,1973,1434,3729,5371,2
819,1204,1151,3040,2184,1572,3421,4507,2
640,1036,925,2539,1914,1519,3036,4659,2
553,901,779,2423,1619,1081,3174,5134,2
397,801,588,2566,1391,747,3770,6271,0
507,878,694,2522,1216,670,3547,5684,0
611,1045,1015,2806,1888,1277,3128,4687,0
675,997,909,3536,2109,1249,4715,5910,2
465,779,561,3812,1832,864,5937,7434,0
382,693,433,4018,1705,707,6518,8054,0
372,700,431,4280,1736,705,6836,8170,0
350,682,411,4417,1705,689,7024,8297,0
347,675,406,4288,1710,689,6872,8270,0
363,695,434,3848,1613,674,6217,7973,0
351,691,418,4281,1677,678,6822,8221,0
372,749,472,4186,1778,728,6526,7973,0
420,789,568,2944,1604,740,4499,6765,0
396,787,573,2845,1708,819,4267,6647,0
363,773,582,2784,1653,853,4062,6542,0
363,773,540,2331,1234,678,3485,6238,0
450,789,600,3074,1802,982,4651,6734,0
670,944,869,2315,1802,1385,2891,4541,0
739,1031,985,2459,1958,1513,2873,4280,0
627,947,814,3434,2094,1247,4811,6168,0
514,885,704,3272,1855,988,4706,6459,0
414,770,558,3062,1498,741,4705,6917,0
464,840,661,3002,1856,1137,4339,6391,0
503,873,704,3237,2086,1138,4626,6427,0
456,811,588,3260,1843,875,4997,6944,0
443,797,552,3292,1684,784,5158,7128,0
442,807,557,3189,1525,721,4979,7026,0
405,786,535,3353,1559,721,5209,7248,0
353,703,445,4179,1824,792,6573,8075,0
401,771,499,3784,1865,844,5964,7670,0
453,824,556,3561,1858,879,5565,7299,0
415,827,574,3495,1904,943,5282,7179,0
419,858,601,3455,1886,958,5126,7036,0
597,1031,798,3467,1989,1073,4843,6258,0
833,1399,1211,3810,2500,1465,4382,5176,0
1935,2230,2115,4348,3223,1985,4457,3455,0
2250,2679,2604,4662,3729,2422,3836,2832,0
2494,3032,2956,4893,4109,2788,3478,2468,0
2650,3044,2990,4883,4099,2813,3655,2404,0
2946,3238,3261,5158,4390,3109,3755,2253,0
3067,3371,3413,5274,4624,3306,3649,2142,0
3073,3428,3468,5305,4680,3380,3515,2094,0
2444,3019,3066,5241,4194,2979,3552,2618,0
1127,1805,1727,4382,2936,1905,4074,4346,0
304,818,614,2831,1494,851,3894,6435,0
413,851,640,2247,1066,588,3093,5566,0
433,854,693,2376,1474,829,3167,5484,0
486,891,727,2481,1397,811,3322,5468,0
464,871,665,3049,1625,865,4396,6419,0
403,779,500,3523,1622,739,5598,7514,0
429,807,548,3302,1579,723,5149,7153,0
488,843,640,3248,1728,848,4856,6708,0
597,1044,1038,3309,2331,1576,3770,5224,0
745,1155,1185,3381,2518,1829,3684,4809,2
641,1118,1028,3383,2293,1589,3993,5339,2
576,1019,845,3432,2140,1328,4560,6049,2
545,962,763,3440,1945,1102,4804,6369,0
424,853,652,3206,1743,1014,4581,6620,0
494,909,760,3214,2008,1281,4361,6175,2
471,904,726,3288,1906,1091,4539,6383,0
489,863,665,3209,1695,934,4700,6567,0
553,953,870,3127,1939,1314,3974,5647,2
620,990,926,2979,1881,1231,3696,5257,2
583,955,768,2553,1307,745,3489,5375,0
553,904,718,2251,1099,673,3088,5163,0
432,804,589,2270,1100,632,3345,5880,0
349,752,515,2713,1457,737,4167,6809,0
389,786,559,2798,1350,687,4229,6670,0
436,772,661,2615,1420,886,3670,5965,0
508,835,723,2941,1751,1031,4117,6053,2
539,890,751,3326,1914,1080,4668,6316,0
465,829,651,3528,1785,935,5157,6884,0
412,717,472,3939,1730,745,6335,7860,0
379,693,431,4316,1756,719,6908,8184,0
366,698,430,4369,1727,703,6933,8208,0
369,712,441,3925,1561,651,6310,7980,0
349,695,425,4055,1590,651,6488,8103,0
341,689,429,4068,1683,697,6459,8092,0
392,763,540,3477,1590,708,5330,7311,0
413,801,599,3025,1647,801,4485,6694,0
407,789,604,2844,1647,884,4174,6497,0
427,779,620,2765,1591,884,4037,6337,0
540,889,791,2535,1709,1131,3295,5244,0
690,994,982,2415,1900,1460,2728,4218,0
608,930,833,3290,2101,1334,4474,5959,0
443,800,539,4158,2022,936,6431,7705,0
394,742,504,3895,1793,807,6071,7709,0
397,767,553,3305,1632,791,5042,7133,0
483,870,682,3653,1952,995,5259,6854,0
485,859,653,3526,1920,950,5202,6875,0
431,813,574,3292,1719,799,5032,7031,0
400,780,523,3383,1688,771,5288,7322,0
408,778,525,3459,1618,740,5414,7364,0
405,757,508,3682,1587,707,5795,7575,0
383,750,482,3889,1752,765,6124,7795,0
386,770,489,3860,1816,807,6063,7751,0
429,806,532,3862,1849,832,6017,7579,0
546,928,701,3640,2040,1041,5343,6770,0
694,1165,942,3675,2195,1218,4838,5919,0
937,1456,1276,3811,2457,1483,4389,4983,0
1185,1683,1542,4059,2752,1734,4363,4494,0
878,1248,978,3747,2038,1071,5313,5860,0
912,1146,896,3976,2130,1071,6154,6322,0
954,1261,1022,3931,2268,1220,5634,5873,0
956,1412,1163,3873,2440,1407,4952,5381,0
820,1408,1114,4115,2552,1457,5122,5739,0
1133,1723,1486,3763,2668,1638,4014,4338,0
1697,2291,2207,4391,3481,2260,3663,3310,0
1730,2397,2347,4544,3645,2413,3509,3188,0
1190,1623,1566,3791,2725,1803,3900,4153,0
434,886,761,2642,1769,1123,3370,5527,0
364,823,593,2177,1057,593,3045,5718,0
400,815,603,2503,1320,726,3620,6117,0
465,884,681,2760,1531,860,3891,6042,0
455,869,651,3265,1693,874,4750,6675,0
408,789,504,3359,1512,669,5357,7391,0
438,818,572,3097,1533,716,4766,6882,0
512,879,704,3271,1940,1079,4700,6458,0
649,1051,993,2948,2259,1646,3481,4961,0
661,1021,927,3256,2195,1433,4201,5568,2
542,854,693,3078,1902,1174,4527,6325,2
645,1033,912,3079,2074,1330,3950,5430,2
700,1210,1040,3524,2207,1389,4279,5443,0
561,1009,795,3388,2009,1212,4647,6199,0
536,1013,845,3366,2069,1288,4372,5987,2
524,940,777,3201,1810,1146,4349,6094,2
528,928,732,3131,1726,997,4422,6210,0
432,901,729,2869,1618,941,3821,5948,0
432,876,663,3040,1647,864,4313,6419,0
509,909,693,2920,1599,794,4199,6164,0
477,872,657,2895,1545,782,4220,6301,0
386,802,542,2997,1534,730,4596,6937,0
333,747,482,2977,1643,809,4665,7213,0
370,790,562,2686,1460,765,3998,6539,0
416,803,590,2640,1444,809,3924,6347,0
435,800,564,2869,1580,836,4436,6714,0
489,839,647,3259,1898,1013,4847,6687,0
557,899,769,3032,1906,1184,4201,5954,2
560,897,762,2965,1834,1093,4129,5911,2
461,795,575,3518,1820,866,5446,7190,0
395,728,473,3954,1705,740,6293,7863,0
379,720,448,3969,1614,670,6372,7971,0
373,726,467,4005,1664,704,6314,7911,0
365,712,453,3942,1623,687,6265,7939,0
384,742,500,3803,1673,735,5931,7676,0
432,799,610,3123,1596,800,4639,6732,0
482,828,666,2845,1626,927,4119,6206,0
489,822,675,2808,1619,1000,4043,6124,0
635,890,830,2258,1657,1308,2862,4624,0
738,1036,1065,2608,2082,1605,2865,4201,0
547,829,702,3503,2006,1087,5144,6661,0
421,736,490,3882,1882,824,6206,7758,0
381,743,513,3741,1932,890,5780,7588,0
388,852,618,3823,2036,985,5480,7217,0
765,1165,968,4018,2264,1189,5412,6117,0
951,1255,1100,3989,2187,1175,5367,5677,0
562,875,674,3769,1794,852,5690,6966,0
353,718,460,3824,1755,773,6035,7852,0
372,741,493,3699,1818,813,5780,7648,0
408,767,535,3603,1710,756,5577,7414,0
397,772,526,3471,1634,716,5394,7368,0
388,782,504,3537,1566,695,5555,7506,0
439,855,588,3366,1567,738,5106,7026,0
678,1203,977,3635,2119,1167,4611,5763,0
1111,1571,1398,3963,2582,1561,4574,4785,0
1174,1665,1524,4046,2737,1679,4383,4528,0
1218,1798,1645,4141,2931,1832,4195,4314,0
495,857,590,3493,1595,734,5448,7110,0
469,861,577,3674,1729,788,5685,7285,0
448,911,642,3343,1612,800,4881,6778,0
426,922,643,2930,1109,545,4206,6401,0
366,807,525,3100,1232,622,4767,7103,0
412,883,622,3007,1577,857,4368,6572,0
486,1073,911,3154,2057,1254,3745,5518,0
870,1357,1251,3514,2689,1627,3903,4749,0
784,1146,1040,2954,2176,1615,3594,4792,0
454,817,597,1976,1127,704,2837,5360,0
289,687,384,1770,843,464,2910,6435,0
333,731,446,2446,1163,591,3961,6916,0
426,856,635,3082,1665,881,4466,6583,0
436,837,594,3433,1707,799,5170,7050,0
414,798,513,3457,1598,713,5480,7416,0
430,810,533,3663,1759,785,5738,7459,0
493,853,650,3354,1895,953,4987,6753,0
626,1056,954,3090,2177,1488,3782,5282,0
635,975,775,3643,2028,1095,5299,6492,0
691,1052,920,3418,2291,1355,4540,5758,0
697,1154,995,3446,2309,1350,4319,5519,2
824,1252,1052,3682,2263,1296,4760,5556,0
747,1267,1009,3646,2339,1372,4676,5665,0
902,1338,1134,3846,2380,1369,4883,5446,0
851,1279,1096,3691,2223,1252,4672,5421,0
537,922,695,3012,1693,880,4403,6250,0
363,813,566,2729,1353,678,4035,6564,0
390,838,568,3178,1542,732,4776,6967,0
447,867,619,3225,1660,801,4795,6779,0
442,859,652,3096,1671,862,4462,6521,0
380,796,534,2746,1227,593,4221,6744,0
344,758,482,2589,1178,585,4083,6861,0
380,799,602,2416,1213,673,3441,6011,0
402,793,600,2693,1605,876,3941,6356,0
425,808,575,2786,1457,742,4236,6578,0
464,784,551,3153,1629,806,5012,7025,0
540,860,671,3140,1749,989,4706,6479,0
713,1038,961,3228,2121,1437,4153,5412,2
616,1015,931,2966,2013,1307,3652,5222,2
494,820,630,3469,1794,889,5240,6926,0
382,717,456,3986,1672,707,6369,7947,0
358,698,440,4116,1699,708,6531,8068,0
373,742,483,3431,1508,665,5447,7532,0
389,767,528,3277,1522,714,5080,7225,0
452,800,595,2888,1406,705,4387,6583,0
498,827,640,2760,1500,839,4120,6235,0
562,828,702,2473,1543,1115,3551,5578,2
808,1070,1022,2219,1788,1563,2435,3693,2
915,1308,1339,2973,2382,1735,2888,3789,2
518,839,653,3647,2019,1027,5471,6963,0
396,710,463,3929,1766,763,6308,7892,0
388,801,561,3829,1969,932,5719,7444,0
629,1055,846,3995,2181,1095,5485,6505,0
1116,1563,1415,4150,2618,1498,4792,4915,0
1172,1502,1386,4235,2445,1355,5176,5068,0
506,817,604,4273,1851,830,6504,7523,0
329,718,473,4023,1759,766,6166,7896,0
393,783,558,3225,1806,847,4893,7050,0
436,802,587,3162,1792,802,4799,6868,0
418,789,584,2783,1420,625,4180,6531,0
405,794,549,3083,1387,623,4749,6977,0
442,886,620,3778,1760,814,5567,7181,0
655,1198,945,4031,2202,1176,5217,6202,0
966,1508,1311,3958,2526,1504,4539,5024,0
855,1341,1146,3915,2391,1393,4814,5471,0
733,1286,1071,3831,2383,1387,4675,5630,0
476,856,585,3274,1580,752,5087,6968,0
478,844,551,3398,1560,721,5425,7209,0
464,889,630,3011,1347,653,4472,6539,0
433,896,636,2725,996,517,3929,6215,0
377,830,551,2992,1261,632,4530,6890,0
371,775,496,3189,1561,750,5031,7308,0
495,845,656,2979,1696,1021,4399,6391,0
621,984,847,2993,2065,1310,3999,5589,0
525,940,762,2576,1747,1243,3433,5434,0
429,791,563,1789,940,600,2565,5213,0
264,668,347,1070,377,237,1618,5102,0
304,720,436,1501,618,365,2249,5498,0
399,814,585,3101,1655,842,4619,6826,0
410,808,567,3543,1816,827,5364,7241,0
437,807,553,3367,1589,719,5247,7179,0
462,819,567,3381,1536,687,5282,7128,0
488,840,609,3271,1713,821,5017,6861,0
545,910,715,3314,1818,983,4807,6451,0
583,961,716,3576,1829,864,5296,6664,0
813,1211,1073,3386,2106,1267,4213,5187,0
822,1269,1117,3196,2028,1209,3785,4820,2
1068,1459,1315,3689,2381,1393,4374,4744,0
887,1268,1071,3889,2345,1352,5156,5681,0
785,1259,1065,3738,2355,1287,4693,5565,0
903,1230,1077,3559,2247,1200,4684,5354,0
458,864,641,3135,1951,967,4603,6605,0
339,789,544,2927,1763,863,4365,6865,0
351,767,516,3427,1682,788,5239,7383,0
403,814,615,3295,1739,894,4799,6854,0
420,824,614,2602,1271,670,3783,6182,0
373,795,536,2459,1001,504,3733,6421,0
336,763,472,2515,969,485,3982,6840,0
402,822,597,2529,1155,631,3688,6180,0
490,897,799,2566,1912,1161,3228,5251,0
551,910,784,2479,1632,980,3247,5195,0
503,816,599,3148,1560,799,4913,6803,0
429,759,491,3679,1653,740,5944,7645,0
491,815,582,2986,1430,714,4697,6738,0
544,842,666,3102,1846,1011,4678,6465,0
591,976,838,3278,2016,1240,4397,5928,0
696,1044,999,3319,2044,1306,4116,5373,2
393,733,489,4164,1772,803,6493,7898,0
351,678,411,4215,1615,667,6769,8223,0
376,706,469,3825,1683,735,6071,7816,0
422,732,489,3724,1570,694,5994,7679,0
473,804,643,3613,1718,935,5333,6978,0
715,975,1119,2622,2026,1670,2689,4018,2
788,1076,1054,2503,1794,1581,2804,4074,2
725,1034,938,3246,2105,1338,4294,5516,2
460,818,597,3674,1839,878,5572,7204,0
398,787,530,3861,1929,889,5925,7586,0
528,1009,781,3803,2143,1095,5200,6592,0
986,1453,1273,4029,2534,1442,4828,5198,0
1502,1916,1805,4260,2952,1776,4439,4048,0
1290,1419,1307,4282,2349,1274,5974,5323,0
408,791,550,4139,1850,833,6240,7654,0
357,798,581,3281,1962,905,4791,6991,0
427,789,562,2936,1659,755,4529,6787,0
449,792,567,3112,1618,725,4840,6918,0
428,799,563,3312,1685,783,5098,7094,0
399,762,492,3692,1581,700,5860,7648,0
519,952,698,3528,1753,852,5118,6697,0
651,1176,921,3770,2145,1158,4942,6073,0
973,1522,1343,3924,2533,1516,4394,4900,0
650,1161,946,3541,2150,1261,4523,5783,0
444,1095,862,3227,2006,1204,3924,5784,0
540,891,657,3384,1671,848,5135,6748,0
578,909,678,3046,1576,832,4633,6359,0
508,849,581,3060,1512,737,4866,6809,0
436,784,512,3168,1419,673,5120,7217,0
425,813,565,2904,1297,663,4462,6743,0
478,872,678,2625,1350,787,3713,5895,0
587,988,881,2764,1862,1263,3449,5166,0
669,1049,964,2754,1953,1365,3310,4814,0
476,885,691,2027,1232,813,2650,4915,0
322,705,399,1117,320,256,1618,4736,0
226,616,263,910,214,147,1499,5516,0
324,743,488,1875,962,550,2802,5870,0
383,808,594,3263,1808,915,4782,6920,0
417,798,570,3630,1901,846,5495,7286,0
447,809,563,3566,1754,783,5524,7273,0
473,825,561,3517,1682,762,5542,7249,0
496,852,605,3508,1789,851,5409,7058,0
508,861,617,3435,1791,826,5286,6955,0
524,910,657,3336,1684,776,5018,6709,0
624,984,758,3430,1786,888,5023,6380,0
633,1101,876,3479,2043,1053,4652,5977,0
933,1376,1206,3687,2319,1325,4454,5071,0
773,1205,1052,3677,2260,1340,4624,5551,2
438,900,700,3164,1959,1038,4375,6377,0
415,837,604,2933,1680,826,4331,6585,0
400,819,572,3017,1720,847,4545,6812,0
367,799,544,2984,1781,871,4520,6916,0
378,782,535,3100,1732,848,4759,7056,0
423,820,621,2783,1485,777,4053,6351,0
